编号,名字,别名,世代,种族,属性,装备凹槽,消耗容量,成长,退化,进化,进化条件,Lv.1数值,Lv.99数值,SS,必杀技,继承技
29,基尔兽,,成长期,病毒,火,1,5,速攻,['滚球兽'],"['古拉兽', '暴龙兽蓝', '大地暴龙兽', '巨龙兽', '火焰兽', '火神兽']","('等级：7', 'HP：', 'SP：', 'ATK：30', 'DEF：', 'INT：', 'SPD：20', '友情：', '才能：', '')","('HP：470', 'SP：25', 'ATK：70', 'INT：15', 'DEF：30', 'SPD：43')","('HP：1640', 'SP：113', 'ATK：197', 'INT：93', 'DEF：118', 'SPD：160')","('万能', 'ATK、DEF、INT、SPD提升5%。')","[('破岩击', '对敌方单体发动威力70的土属性物理攻击。')]","['Lv.云雾汽油弹Ⅰ', 'Lv.攻击填充']"
30,管狐兽,,成长期,疫苗,光,1,5,智力,['汪喵兽'],"['天使兽', '黄金鼻涕兽', '锐啄兽', '镰鼬兽', '野狼兽']","('等级：8', 'HP：', 'SP：20', 'ATK：', 'DEF：', 'INT：20', 'SPD：', '友情：', '才能：', '')","('HP：200', 'SP：65', 'ATK：14', 'INT：54', 'DEF：30', 'SPD：47')","('HP：980', 'SP：192', 'ATK：92', 'INT：181', 'DEF：118', 'SPD：164')","('神秘的守护', '陷入异常状态的机率降低50%。')","[('绝光冲', '对敌方单体发动威力65的光属性魔法攻击。')]","['Lv.神圣钩爪Ⅰ', 'Lv.神圣之光Ⅰ']"
31,哈哈兽,,成长期,自由,暗,1,5,速攻,['指爪兽'],"['巫师兽', '魔蛹兽', '猛鬼兽', '白金大便兽', '阿卡迪兽成熟期']","('等级：9', 'HP：', 'SP：', 'ATK：20', 'DEF：', 'INT：', 'SPD：20', '友情：', '才能：', '')","('HP：450', 'SP：30', 'ATK：60', 'INT：22', 'DEF：25', 'SPD：43')","('HP：1620', 'SP：118', 'ATK：187', 'INT：100', 'DEF：113', 'SPD：160')","('破坏神', '发动攻击时，有10%的机率使对方立即死亡。')","[('疯狂大笑', '对敌方单体发动威力75的暗属性物理攻击。')]","['Lv.破坏加农Ⅰ', 'Lv.守备破坏']"
32,矿石兽,,成长期,资料,土,1,5,防御,['年糕兽'],"['冰石兽', '战甲兽', '时钟兽', '岩石兽', '星星兽', '坦克兽']","('等级：8', 'HP：', 'SP：', 'ATK：', 'DEF：30', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：300', 'SP：30', 'ATK：40', 'INT：37', 'DEF：55', 'SPD：33')","('HP：1280', 'SP：128', 'ATK：147', 'INT：144', 'DEF：182', 'SPD：111')","('动物竞技场', '土属性技能造成的伤害增加15%。')","[('愤怒岩石', '对敌方单体发动威力65的土属性物理攻击，并有10%的机率使自己的DEF提升10%。')]","['Lv.守备填充', 'Lv.彗星重锤Ⅰ']"
33,野人兽,哥布林兽,成长期,病毒,土,1,4,攻击,['独角兽'],"['奥加兽', '迦奥迦兽', '古拉兽', '暴龙兽蓝', '核龙兽绿', '亚伯兽']","('等级：7', 'HP：', 'SP：', 'ATK：40', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：470', 'SP：12', 'ATK：52', 'INT：12', 'DEF：52', 'SPD：35')","('HP：1640', 'SP：90', 'ATK：179', 'INT：90', 'DEF：169', 'SPD：133')","('蓄力的一击', 'CRT提升15%。')","[('野人火焰弹', '对敌方单体发动威力65的火属性物理攻击。并有10%的机率使对方眩晕。')]","['Lv.彗星重锤Ⅰ', 'Lv.眩晕冲击']"
34,哥玛兽,,成长期,疫苗,水,1,5,HP,['布加兽'],"['冰石兽', '战甲兽', '海狮兽', '强袭龙兽', '冰巫师兽', '雪人兽']","('等级：8', 'HP：100', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：10', '才能：', '')","('HP：530', 'SP：25', 'ATK：40', 'INT：32', 'DEF：40', 'SPD：35')","('HP：1800', 'SP：113', 'ATK：147', 'INT：130', 'DEF：147', 'SPD：123')","('深海救星', '水属性技能造成的伤害增加15%。')","[('鱼群大暴走', '对敌方全体发动1~3次威力15的水属性物理攻击。')]","['Lv.偶像泡沫', 'Lv.反混乱']"
35,虾蛄兽,砗磲兽,成长期,病毒,水,1,4,魔防,['布加兽'],"['海狮兽', '贝壳鼻涕兽', '怪蛙兽', '海龙兽', '希拉兽']","('等级：7', 'HP：', 'SP：', 'ATK：', 'DEF：15', 'INT：20', 'SPD：', '友情：', '才能：', '')","('HP：340', 'SP：42', 'ATK：14', 'INT：49', 'DEF：37', 'SPD：34')","('HP：1410', 'SP：159', 'ATK：92', 'INT：176', 'DEF：135', 'SPD：122')","('深海救星', '水属性技能造成的伤害增加15%。')","[('黑珍珠', '对敌方全体发动威力25的水属性魔法攻击。')]","['Lv.寒冰之箭Ⅰ', 'Lv.反睡眠']"
36,兹巴兽,,成长期,疫苗,无,1,5,攻击,['独角兽'],"['兹巴伊戈兽', '巴欧哈克兽', '黄金鼻涕兽', '银龙兽']","('等级：10', 'HP：', 'SP：', 'ATK：20', 'DEF：', 'INT：', 'SPD：20', '友情：', '才能：', '')","('HP：430', 'SP：18', 'ATK：63', 'INT：15', 'DEF：53', 'SPD：38')","('HP：1600', 'SP：96', 'ATK：190', 'INT：93', 'DEF：170', 'SPD：136')","('Legend-Arms', '增加光·暗属性技能所给予的伤害10%。')","[('二十连俯冲', '对敌方单体发动无属性威力75的物理攻击。')]","['Lv.重度强袭Ⅰ', 'Lv.攻击填充']"
37,太阳兽,日轮兽,成长期,疫苗,光,1,4,铁壁,['年糕兽'],"['守卫兽（金）', '时钟兽', '庸俗兽', '岩石兽', '星星兽', '火焰兽']","('等级：6', 'HP：75', 'SP：', 'ATK：', 'DEF：25', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：400', 'SP：35', 'ATK：25', 'INT：27', 'DEF：45', 'SPD：38')","('HP：1670', 'SP：142', 'ATK：113', 'INT：115', 'DEF：172', 'SPD：116')","('全天作战机器', '不会陷入睡眠状态。')","[('闪光环', '对敌方单体发动威力70的光属性物理攻击，必定命中。')]","['Lv.神圣之光Ⅰ', 'Lv.闪耀雷射Ⅰ']"
38,芝蒙兽,吱吱兽,成长期,病毒,土,1,4,速度,['柏古兽'],"['大便兽', '亚伯兽', '黑迪路兽', '烂泥兽']","('等级：6', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：30', '友情：', '才能：', '')","('HP：260', 'SP：38', 'ATK：38', 'INT：36', 'DEF：24', 'SPD：48')","('HP：1140', 'SP：145', 'ATK：135', 'INT：134', 'DEF：122', 'SPD：175')","('走为上策', '有逃脱的机会的战斗，绝对能逃脱成功。')","[('乳酪爆弹', '对敌方单体发动火属性威力70的物理攻击。')]","['Lv.重度强袭Ⅰ', 'Lv.疾速逃脱']"
39,大耳兽,梗犬兽,成长期,疫苗,风,1,4,速度,['猫猫兽'],"['海狮兽', '加鲁哥兽', '迪路兽', '独角马兽', '拉比兽（盔甲）']","('等级：8', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：30', '友情：10', '才能：', '')","('HP：250', 'SP：40', 'ATK：35', 'INT：35', 'DEF：26', 'SPD：49')","('HP：1130', 'SP：147', 'ATK：133', 'INT：133', 'DEF：124', 'SPD：176')","('百发百中', 'ACU提升15%、')","[('小型龙卷风', '对敌方全体发动威力20的风属性魔法攻击。')]","['Lv.治愈', 'Lv.速度填充']"
40,甲虫兽,,成长期,疫苗,木,1,4,防御,['年糕兽'],"['比多兽', '雀蜂兽', '古加兽', '飞虫兽', '向日葵兽']","('等级：9', 'HP：', 'SP：', 'ATK：', 'DEF：20', 'INT：', 'SPD：', '友情：10%', '才能：', '')","('HP：260', 'SP：30', 'ATK：33', 'INT：40', 'DEF：47', 'SPD：34')","('HP：1240', 'SP：128', 'ATK：140', 'INT：147', 'DEF：174', 'SPD：112')","('麻痹如水流', '不会陷入麻痹状态。')","[('小型闪电', '对敌方单体发动威力60的雷属性魔法攻击。')]","['Lv.奈米机械破坏Ⅰ', 'Lv.麻痹电网']"
41,积木亚古兽,玩具亚古兽,成长期,疫苗,无,1,4,铁壁,['滚球兽'],"['守卫兽', '守卫兽（金）', '暴龙兽', '时钟兽', '大便兽', '星星兽']","('等级：8', 'HP：75', 'SP：', 'ATK：', 'DEF：20', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：480', 'SP：34', 'ATK：28', 'INT：19', 'DEF：49', 'SPD：32')","('HP：1750', 'SP：141', 'ATK：116', 'INT：107', 'DEF：176', 'SPD：110')","('铁壁的守护', 'DEF提升15%。')","[('玩具火焰弹', '对敌方单体发动威力60的火属性物理攻击，并有10%的机率使对方的INT降低10%。')]","['Lv.力量能源Ⅰ', 'Lv.爆裂火焰Ⅰ']"
42,德古兽,德库拉兽,成长期,病毒,暗,1,5,防御,['指爪兽'],"['血狼兽', '恶魔兽', '烂泥兽', '修女兽天蓝', '阿卡迪兽成熟期']","('等级：8', 'HP：', 'SP：', 'ATK：30', 'DEF：', 'INT：', 'SPD：20', '友情：', '才能：', '')","('HP：380', 'SP：32', 'ATK：55', 'INT：30', 'DEF：25', 'SPD：45')","('HP：1360', 'SP：130', 'ATK：162', 'INT：137', 'DEF：152', 'SPD：123')","('吸血鬼', '增加依照HP吸取效果的回复量25%.')","[('恶梦之眼', '对敌方单体发动暗属性威力50的魔法攻击，吸取10%的HP，使对方混乱。')]","['Lv.破坏加农Ⅰ', 'Lv.死亡召唤']"
